renda;amostra 1;amostra 2;amostra 3;amostra 4;amostra 5;amostra 6;amostra 7;amostra 8;amostra 9;amostra 10;amostra 11;amostra 12;amostra 13;amostra 14;amostra 15;amostra 16;amostra 17;amostra 18;amostra 19;amostra 20;amostra 21;amostra 22;amostra 23;amostra 24;amostra 25;amostra 26;amostra 27;amostra 28;amostra 29;amostra 30;amostra 31;amostra 32;amostra 33;amostra 34;amostra 35;amostra 36;amostra 37;amostra 38;amostra 39;amostra 40;amostra 41;amostra 42;amostra 43;amostra 44;amostra 45;amostra 46;amostra 47;amostra 48;amostra 49;amostra 50;amostra 51;amostra 52;amostra 53;amostra 54;amostra 55;amostra 56;amostra 57;amostra 58;amostra 59;amostra 60;amostra 61;amostra 62;amostra 63;amostra 64;amostra 65;amostra 66;amostra 67;amostra 68;amostra 69;amostra 70;amostra 71;amostra 72;amostra 73;amostra 74;amostra 75;amostra 76;amostra 77;amostra 78;amostra 79;amostra 80;amostra 81;amostra 82;amostra 83;amostra 84;amostra 85;amostra 86;amostra 87;amostra 88;amostra 89;amostra 90;amostra 91;amostra 92;amostra 93;amostra 94;amostra 95;amostra 96;amostra 97;amostra 98;amostra 99;amostra 100
100;51.82645987;72.53213142;83.63674313;114.4249993;89.17059031;47.46128756;115.4157302;53.35966192;53.81379855;82.12638744;118.8858333;81.6174113;52.56474743;104.7344898;81.54379144;66.98806934;72.58462408;82.71883986;47.52970137;68.02120003;77.15762999;33.07613536;92.12950257;107.4430126;96.04204693;52.75042426;45.6538009;88.88982595;57.16425211;28.69461703;70.54491345;97.04781153;55.44850723;27.13431286;120.3237896;88.94357929;52.93371081;56.90649399;51.83744102;64.93570419;71.10064022;89.35952536;31.46988238;115.2505565;88.21853885;93.49095974;103.9153228;103.8425364;115.5749448;98.98440644;76.78573588;48.65914291;108.0858097;57.98014569;49.91979184;138.9347626;64.98109198;41.11246792;83.18487325;70.96293375;52.14517534;43.59145992;64.2210761;90.6617246;77.65008604;93.52810382;40.12138326;79.40160721;122.4487341;65.83541114;50.29431728;67.51527194;53.99535697;27.13480708;72.16450249;56.59939099;82.96324754;61.90497349;43.19162942;86.98654202;100.4561765;120.9343216;28.64330721;33.69575948;63.50168585;74.63478615;59.36799353;39.83001773;86.38515388;67.45321442;-18.11076018;54.16373395;84.53959628;96.68437322;140.2446604;56.95263991;39.03731538;79.83650287;84.63329963;66.66378333
201;190.2094777;154.924095;107.7814578;113.4974825;182.3802483;90.46308767;141.1969652;179.665174;156.7904104;131.6688016;129.9615744;138.5146067;183.7063109;78.11570124;154.0015379;127.799217;189.6192477;187.1610566;113.4798667;172.1813038;153.2947769;183.6987919;137.3315923;148.2497311;130.8138479;173.4380932;146.3078463;198.0711731;190.2287273;218.0302486;125.4764148;138.3276333;124.0263511;205.1530085;139.8954976;180.2209366;117.9227431;143.9133845;219.6664123;171.8228484;97.80467926;169.0962372;118.6744572;117.8365268;181.7735524;126.4022251;155.3038036;128.3064329;137.4863863;106.5093627;168.4169452;128.3238981;184.3568428;191.7583542;163.0803676;160.4596066;165.4957527;157.8602183;153.4287442;119.8573613;141.5179624;148.0784246;147.5040965;110.3574875;167.7756788;104.9669627;157.7959184;111.0759047;176.6436354;119.0666443;132.389266;117.1450796;103.1006307;148.0078379;142.4168226;126.9761056;155.6175165;130.8878451;103.467399;181.3539955;147.0181581;131.7135794;209.7301313;136.0936109;102.3133576;132.4336718;105.4509877;158.6331814;108.588586;143.5603224;145.1404183;85.71215651;170.8036803;153.1958689;165.8810766;168.3587247;155.2012341;113.1485512;141.4393759;132.065737
302;167.6628889;262.5084624;194.0971397;178.608951;241.9742875;193.97316;204.4853373;209.195552;221.5556824;249.4125272;205.820153;206.0075294;238.6990098;186.6642179;217.165612;246.4309223;214.3741417;170.6846218;179.0321958;227.162582;204.7756785;234.175071;222.5695545;264.5754857;222.7221194;191.0050962;204.1822516;196.9810065;222.8976586;151.267394;246.7080185;257.7283722;184.7070527;179.9599552;234.3633582;181.9311824;157.4804556;236.9328784;240.3599786;160.2588185;202.0233702;203.5486355;255.9226246;194.8248856;205.746321;219.4904732;230.304325;192.0692279;251.5706904;203.9574693;172.1540165;230.5705816;188.7481149;247.6298891;197.7532518;228.5486513;219.8338451;258.4213083;196.3858911;180.7011867;225.0098595;175.5594555;238.4232683;265.3571361;213.315846;229.1892809;214.0513514;245.5973586;159.6520699;203.372842;208.6961587;135.8154452;236.8189421;226.0950028;198.8104085;223.9360474;202.7538187;265.916997;159.0425306;227.8731131;224.7708917;191.1739402;173.975971;165.045373;210.6760273;214.9729324;196.1146544;221.2073909;165.0973217;186.1890032;211.7735518;194.3508725;177.6431817;265.3639099;268.1105866;216.56541;155.2521926;229.691243;212.9642013;203.0746773
403;316.8727647;307.4137536;281.7772751;242.199718;285.8187539;269.7864441;322.5530006;270.6105015;166.8839991;299.0324689;288.0064191;222.196587;309.5681449;242.4973832;273.0028043;319.3188841;321.64271;276.5027059;330.6829926;282.0351776;299.0119136;268.9399157;293.2111621;281.5876714;312.9988068;266.0769917;342.9180134;257.6899167;276.4935104;273.3868155;281.1753625;332.4327611;282.9182609;355.3568286;244.1730389;261.2509944;271.3372098;278.1712169;246.0946492;252.7686672;234.4836344;246.5297002;273.1577973;277.2031904;248.9338365;299.2687434;290.0534283;287.6099415;225.2947331;245.6318071;293.2977975;267.645723;305.8289714;275.5321871;249.2559934;238.5910819;288.5086302;273.3183757;248.3553366;280.3886735;261.1164886;305.6913306;271.8224445;323.1975149;334.0398906;280.3721968;292.3547345;259.0601175;293.0869894;261.2232832;278.2654049;293.8307128;304.978514;340.2226263;276.1996578;290.5591362;270.3153649;243.1687637;299.3492583;269.4325353;294.177643;333.4221724;275.5417125;298.1996213;250.9368322;310.147502;337.3984091;287.1765195;279.7264576;278.6269615;252.8961996;240.1039844;321.5654294;255.4914875;282.9892111;318.4218755;268.9775106;256.9656676;294.1553201;272.6573564
504;363.1566221;325.5174468;355.4005855;431.1768469;339.1939884;297.8225977;348.293672;320.8459428;368.6185158;370.888662;328.833737;354.755628;364.9354941;380.3992008;324.6016736;325.9918564;360.1191829;319.9305882;353.2784123;395.7173602;345.1382642;335.5494624;341.2748447;376.1307256;312.1415066;383.5229589;365.0005798;409.9500142;375.7476662;302.6380817;343.1335604;347.7363726;362.981694;336.9769182;352.4835229;350.6858511;346.7656493;352.2723777;322.3995544;326.8507879;331.8292412;395.9116232;383.6776726;339.8876323;354.0247262;350.7348917;362.9697578;414.0495158;278.5683001;348.5512244;357.9284388;374.3533506;359.8405215;396.267406;333.1550378;407.8506351;423.3834314;365.8560626;353.0296016;356.0831519;330.1070584;336.051451;365.5979458;394.0228174;353.1757022;383.0473086;355.2381308;349.2918671;320.4147027;307.1161123;322.7356893;374.0092956;382.0491872;329.268614;343.5932243;354.4768527;345.6135344;401.1682358;293.8279784;333.6585487;378.0108482;354.4287437;308.3642015;403.2135704;388.9239672;348.5026764;368.2174049;332.6221;321.9974085;406.7594626;338.6922505;331.9984628;434.010369;349.4801111;344.8759919;307.9312204;325.0570495;379.8400737;338.2435319;361.7016836
605;420.0405772;449.8986693;454.1162047;372.8131964;440.2627573;456.8253931;442.0326811;432.9155058;410.5630728;409.1062335;400.6828609;391.3619403;434.6978711;440.255151;420.0520983;446.8541921;429.227876;383.2270856;430.4735884;430.3691418;424.5529371;415.7749549;421.8520015;397.4143527;504.9532547;374.1441424;438.6049424;434.9855786;404.6828179;409.3438002;469.619503;418.6328656;414.6186499;459.6007825;443.8188763;450.8316125;419.9980443;389.8871183;393.3361772;415.7966478;412.3924021;337.4767856;418.2469611;448.3092257;468.0916105;381.4535546;363.3352511;401.9890303;382.7985966;404.4321874;407.0162281;403.0129498;429.3995359;418.5865629;449.7556433;420.7809537;402.7816632;445.4073554;467.8659457;410.1155405;403.3348819;373.1507648;427.2911799;403.2844541;448.0796577;398.1705172;410.6016148;437.2748037;378.7185571;438.2032506;429.863622;444.1024444;398.9803541;463.4660208;484.8165877;439.2655535;394.2770871;428.9701981;456.2425126;450.6770383;471.3199033;382.162296;478.0605823;464.1239507;373.485497;499.8760951;457.6424933;418.2295678;401.2754574;432.0436389;453.5432237;434.7226021;397.2049127;412.3568678;421.7187673;453.9913827;409.2219421;441.2922833;474.5231729;392.9969521
706;452.029891;472.6248075;485.845823;454.5603673;547.5317045;469.3533704;545.5222358;507.4115841;518.0312776;489.861709;477.6450135;538.1940141;446.1228168;446.5926796;460.3848829;487.8768522;497.436151;476.0088292;476.0380436;520.3795643;485.9017752;523.052118;483.2689785;436.9673417;449.7432988;542.9496729;504.8821346;505.4416191;474.7121158;459.4341631;481.2840989;490.5789086;510.3034159;510.4097619;512.4169072;454.4818548;480.7316693;520.9009203;470.7321395;485.7431415;485.0141955;516.3081566;480.0745981;501.7647912;489.1740283;544.2266351;491.5218772;481.2496097;545.6890877;518.9641333;523.1009111;482.4703791;503.3215399;428.8636498;500.9249026;507.6637159;489.1691188;478.9412631;480.8903718;470.3752966;488.6165937;458.030779;504.519494;525.6144785;493.4494648;518.7261726;468.4247694;552.4797169;500.2589407;428.5976155;458.2554102;427.1314796;522.2477579;496.2978481;484.3617938;539.0311343;482.3073001;516.0419889;473.4036009;520.1263272;510.7904744;488.2468126;515.2489733;546.9454365;523.2988194;492.817943;476.9592648;495.8437381;484.5779164;479.9797324;559.6332567;424.3724375;484.001668;473.4333627;447.8148113;479.9818064;456.4612084;463.8764221;539.8218067;516.8199945
807;520.1050599;556.2018421;534.2454261;526.4130837;524.4781508;517.0321313;593.1934944;568.4236821;586.1618565;579.6806954;571.6997907;537.167996;537.2210433;565.3575962;586.8899867;533.1867863;542.4168512;610.8390095;571.1839018;592.8438867;599.1220096;565.7744987;572.0429602;538.4323176;533.8677796;519.9588808;513.2063433;587.2383906;579.5076881;571.9983752;570.5235493;596.080263;600.406405;553.095229;543.7194178;549.1666454;570.926599;564.916622;534.4035996;564.700485;580.4655181;608.9501451;551.2986341;571.6016305;611.0476766;540.5868501;572.5894845;557.3628379;582.3041388;597.1626918;614.9010957;553.0696286;589.6755479;486.8552787;601.4159303;612.630499;576.9946213;560.2868469;561.9459986;588.6524302;577.1703105;577.7016277;596.6105482;565.3693535;514.727115;534.4958093;536.7299669;556.9331;548.6321421;563.1338557;587.4511477;503.3986201;561.0447807;585.9911565;554.7142257;580.9981275;509.3695315;634.6560617;587.1809883;549.4279445;515.463;584.6111971;555.0527906;573.0969586;620.6704615;564.6637841;520.5621081;538.2388885;530.3401767;563.0685882;588.720807;571.9705229;590.9512686;543.9646661;601.1695976;537.2468829;572.0460588;531.1322322;595.9196206;551.035938
908;625.6037501;595.22686;651.7853606;657.90661;670.143874;725.4354218;671.3824193;618.8009631;614.83691;612.6115904;657.0156242;565.0582051;610.7122902;616.6669579;565.8380864;655.8832753;671.14267;679.5047751;620.6693012;681.7324749;656.0837312;634.6010421;613.6094517;649.7272272;654.5079821;632.1394415;619.3703683;654.5625485;636.5488924;650.5746904;631.8314015;605.9053633;573.1082607;617.4556316;605.7825363;588.7557894;673.922093;648.0450467;611.1809391;636.5693601;692.5227358;596.8374465;674.355371;665.4167027;630.1828798;640.3268013;558.0452512;641.0353359;602.4618873;568.1401739;638.2564459;624.2947988;639.4578287;641.525784;599.9718891;591.0295178;642.16385;614.4654186;630.9745585;691.2220995;670.8431083;623.730079;626.3269136;609.2240615;639.3171665;623.6904659;607.8795533;637.3474615;628.2081517;631.3947523;653.280937;602.5358644;647.7187136;648.4550073;639.0359815;627.486411;654.3885473;637.2849217;696.6012662;582.1081987;519.3859278;644.172077;654.6186873;600.3029401;677.9713193;649.7834517;589.4454808;676.1532933;637.7727632;629.0923195;630.0724261;669.9599696;632.1219507;668.2622469;709.0729846;646.450246;647.2620069;634.1248626;642.4324463;607.316093
1009;659.6403612;672.2350861;745.2779324;680.9858068;761.6874258;721.0105681;707.4741599;680.4665577;703.5437513;692.2815511;743.4655806;718.5696336;716.5646038;704.3647693;767.830936;689.33204;688.2800171;603.0290806;743.0586542;708.9447678;666.7881813;633.132294;705.9042727;650.6518158;672.2598084;709.1651819;736.915223;685.8706994;683.2873122;696.5733656;695.1436566;670.6419773;753.1942214;706.6393616;702.0403462;701.9530701;686.7335095;721.0887813;677.9933414;647.4549818;716.5003519;717.9083797;682.1830425;710.0400939;724.2656322;711.2605473;703.9342816;694.7767352;686.9261888;699.9647318;720.1309632;712.1159814;691.9554051;661.4512024;687.2913359;737.0495181;744.2507062;676.5098138;768.8354102;736.5506834;722.74691;707.9601144;682.8178956;694.0656383;714.3998382;730.6214143;640.03567;742.4788287;726.7089709;711.5491516;647.9212291;716.2231568;733.5884141;711.904119;710.2496446;720.6084562;732.7082611;685.0107013;702.1469973;675.0193729;764.1733528;721.2567031;689.2962597;722.5405431;676.6553835;770.801556;743.7668195;745.0297958;735.1256982;677.9900578;715.081819;694.0484236;698.6337125;744.0595284;737.6363553;700.5219913;692.2839571;727.1962874;704.4976615;699.3898673
