Country;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
CD;20.00;19.00;17.00;19.00;20.00;20.21;21.00;22.00;22.00;22.00;21.00
CG;22.00;21.00;19.00;19.00;21.00;21.54;26.00;22.00;23.00;23.00;20.00
RW;25.00;28.00;30.00;33.00;40.00;49.83;53.00;53.00;49.00;54.00;54.00
GH;33.00;37.00;39.00;39.00;41.00;38.51;45.00;46.00;48.00;47.00;43.00
DZ;31.00;30.00;32.00;28.00;29.00;29.04;34.00;36.00;36.00;36.00;34.00
ZA;46.00;51.00;49.00;47.00;45.00;40.80;43.00;42.00;44.00;44.00;45.00
LY;27.00;25.00;26.00;25.00;22.00;20.14;21.00;15.00;18.00;16.00;14.00
EG;33.00;29.00;28.00;28.00;31.00;28.62;32.00;32.00;37.00;36.00;34.00
GN;19.00;19.00;16.00;18.00;20.00;21.10;24.00;24.00;25.00;25.00;27.00
LS;32.00;33.00;32.00;33.00;35.00;35.16;45.00;49.00;49.00;44.00;39.00
AO;22.00;22.00;19.00;19.00;19.00;20.05;22.00;23.00;19.00;15.00;18.00
CF;24.00;20.00;20.00;20.00;21.00;22.10;26.00;25.00;24.00;24.00;20.00
SO;;14.00;10.00;11.00;11.00;9.83;8.00;8.00;8.00;8.00;10.00
BF;32.00;29.00;35.00;36.00;31.00;30.46;38.00;38.00;38.00;38.00;42.00
GA;30.00;33.00;31.00;29.00;28.00;29.83;35.00;34.00;37.00;34.00;35.00
TG;24.00;23.00;27.00;28.00;24.00;23.82;30.00;29.00;29.00;32.00;32.00
SL;22.00;21.00;19.00;22.00;24.00;24.61;31.00;30.00;31.00;29.00;30.00
LR;;21.00;24.00;31.00;33.00;31.89;41.00;38.00;37.00;37.00;37.00
DJ;;29.00;30.00;28.00;32.00;29.81;36.00;36.00;34.00;34.00;30.00
ER;29.00;28.00;26.00;26.00;26.00;24.76;25.00;20.00;18.00;18.00;18.00
KE;22.00;21.00;21.00;22.00;21.00;22.43;27.00;27.00;25.00;25.00;26.00
GM;25.00;23.00;19.00;29.00;32.00;35.12;34.00;28.00;29.00;28.00;26.00
KM;;26.00;25.00;23.00;21.00;24.11;28.00;28.00;26.00;26.00;24.00
CV;;49.00;51.00;51.00;51.00;55.25;60.00;58.00;57.00;55.00;59.00
CI;21.00;21.00;20.00;21.00;22.00;22.34;29.00;27.00;32.00;32.00;34.00
CM;23.00;24.00;23.00;22.00;22.00;24.52;26.00;25.00;27.00;27.00;26.00
ET;24.00;24.00;26.00;27.00;27.00;26.91;33.00;33.00;33.00;33.00;34.00
BI;24.00;25.00;19.00;18.00;18.00;19.35;19.00;21.00;20.00;21.00;20.00
ML;28.00;27.00;31.00;28.00;27.00;27.59;34.00;28.00;32.00;35.00;32.00
TD;20.00;18.00;16.00;16.00;17.00;20.40;19.00;19.00;22.00;22.00;20.00
BJ;25.00;27.00;31.00;29.00;28.00;29.70;36.00;36.00;39.00;37.00;36.00
SZ;25.00;33.00;36.00;36.00;32.00;30.82;37.00;39.00;43.00;;
GQ;21.00;19.00;17.00;18.00;19.00;19.12;20.00;19.00;;;
ZW;24.00;21.00;18.00;22.00;24.00;22.30;20.00;21.00;21.00;21.00;22.00
SD;20.00;18.00;16.00;15.00;16.00;15.64;13.00;11.00;11.00;12.00;14.00
MW;27.00;27.00;28.00;33.00;34.00;30.02;37.00;37.00;33.00;31.00;31.00
MZ;28.00;28.00;26.00;25.00;27.00;26.88;31.00;30.00;31.00;31.00;27.00
NE;23.00;26.00;28.00;29.00;26.00;25.40;33.00;34.00;35.00;34.00;35.00
GW;;22.00;19.00;19.00;21.00;22.02;25.00;19.00;19.00;17.00;16.00
TZ;29.00;32.00;30.00;26.00;27.00;29.51;35.00;33.00;31.00;30.00;32.00
SN;33.00;36.00;34.00;30.00;29.00;28.71;36.00;41.00;43.00;44.00;45.00
UG;27.00;28.00;26.00;25.00;25.00;24.34;29.00;26.00;26.00;25.00;25.00
ZM;26.00;26.00;28.00;30.00;30.00;31.95;37.00;38.00;38.00;38.00;38.00
SS;;;;;;;;14.00;15.00;15.00;11.00
MG;31.00;32.00;34.00;30.00;26.00;30.41;32.00;28.00;28.00;28.00;26.00
MU;51.00;47.00;55.00;54.00;54.00;50.67;57.00;52.00;54.00;53.00;54.00
SC;36.00;45.00;48.00;48.00;48.00;48.22;52.00;54.00;55.00;55.00;
TN;46.00;42.00;44.00;42.00;43.00;37.59;41.00;41.00;40.00;38.00;41.00
BW;56.00;54.00;58.00;56.00;58.00;60.78;65.00;64.00;63.00;63.00;60.00
NG;22.00;22.00;27.00;25.00;24.00;24.49;27.00;25.00;27.00;26.00;28.00
MA;32.00;35.00;35.00;33.00;34.00;34.43;37.00;37.00;39.00;36.00;37.00
ST;;27.00;27.00;28.00;30.00;29.86;42.00;42.00;42.00;42.00;46.00
MR;31.00;26.00;28.00;25.00;23.00;24.27;31.00;30.00;30.00;31.00;27.00
NA;41.00;45.00;45.00;45.00;44.00;44.30;48.00;48.00;49.00;53.00;52.00
KZ;26.00;21.00;22.00;27.00;29.00;26.94;28.00;26.00;29.00;28.00;29.00
CN;33.00;35.00;36.00;36.00;35.00;36.36;39.00;40.00;36.00;37.00;40.00
JP;76.00;75.00;73.00;77.00;78.00;80.41;74.00;74.00;76.00;75.00;72.00
MN;28.00;30.00;30.00;27.00;27.00;26.77;36.00;38.00;39.00;39.00;38.00
PK;22.00;24.00;25.00;24.00;23.00;24.68;27.00;28.00;29.00;30.00;32.00
AM;29.00;30.00;29.00;27.00;26.00;26.29;34.00;36.00;37.00;35.00;33.00
BD;20.00;20.00;21.00;24.00;24.00;26.57;26.00;27.00;25.00;25.00;26.00
LK;31.00;32.00;32.00;31.00;32.00;32.95;40.00;37.00;38.00;37.00;36.00
AF;;18.00;15.00;13.00;14.00;15.17;8.00;8.00;12.00;11.00;15.00
BT;60.00;50.00;52.00;50.00;57.00;57.42;63.00;63.00;65.00;65.00;65.00
TJ;22.00;21.00;20.00;20.00;21.00;22.72;22.00;22.00;23.00;26.00;25.00
IN;33.00;35.00;34.00;34.00;33.00;30.99;36.00;36.00;38.00;38.00;40.00
TM;22.00;20.00;18.00;18.00;16.00;16.03;17.00;17.00;17.00;18.00;22.00
GE;28.00;34.00;39.00;41.00;38.00;41.33;52.00;49.00;52.00;52.00;57.00
KG;22.00;21.00;18.00;19.00;20.00;21.20;24.00;24.00;27.00;28.00;28.00
UZ;21.00;17.00;18.00;17.00;16.00;16.25;17.00;17.00;18.00;19.00;21.00
AZ;24.00;21.00;19.00;23.00;24.00;23.75;27.00;28.00;29.00;29.00;30.00
KP;;;;;;10.10;8.00;8.00;8.00;8.00;12.00
MV;;33.00;28.00;25.00;23.00;24.71;;;;;36.00
KR;51.00;51.00;56.00;55.00;54.00;53.56;56.00;55.00;55.00;56.00;53.00
NP;25.00;25.00;27.00;23.00;22.00;22.11;27.00;31.00;29.00;27.00;29.00
BB;67.00;69.00;70.00;74.00;78.00;77.74;76.00;75.00;74.00;;61.00
DM;45.00;56.00;60.00;59.00;52.00;51.75;58.00;58.00;58.00;;59.00
GD;35.00;34.00;;;;;;;;;56.00
LC;;68.00;71.00;70.00;;70.18;71.00;71.00;;;60.00
