Country;2006;2008;2010;2011;2012;2013;2014;2015;2016
CD;2.76;2.28;2.15;2.15;1.92;1.83;1.75;2.11;1.93
CG;3.19;2.94;2.89;2.89;2.89;2.89;2.89;2.91;2.91
RW;3.82;3.71;3.25;3.25;3.36;3.38;3.25;3.07;3.07
GH;5.35;5.35;6.02;6.02;6.02;6.33;6.33;6.86;6.75
DZ;3.17;3.32;3.44;3.44;3.83;3.83;3.83;3.95;3.56
ZA;7.91;7.91;7.79;7.79;7.79;7.90;7.82;7.56;7.41
LY;1.84;2.00;1.94;3.55;5.15;4.82;3.80;2.25;2.25
EG;3.90;3.89;3.07;3.95;4.56;3.27;3.16;3.18;3.31
GN;2.02;2.09;2.79;2.79;2.79;2.84;3.01;3.14;3.14
LS;6.48;6.29;6.02;6.33;6.66;6.66;6.66;6.59;6.59
AO;2.41;3.35;3.32;3.32;3.35;3.35;3.35;3.35;3.40
CF;1.61;1.86;1.82;1.82;1.99;1.49;1.49;1.57;1.61
BF;3.72;3.60;3.59;3.59;3.52;4.15;4.09;4.70;4.70
GA;2.72;3.00;3.29;3.48;3.56;3.76;3.76;3.76;3.74
TG;1.75;2.43;3.45;3.45;3.45;3.45;3.45;3.41;3.32
SL;3.57;4.11;4.51;4.51;4.71;4.64;4.56;4.55;4.55
LR;5.22;5.25;5.07;5.07;4.95;4.95;4.95;4.95;5.31
DJ;2.37;2.37;2.20;2.68;2.74;2.96;2.99;2.90;2.83
ER;2.31;2.31;2.31;2.34;2.40;2.40;2.44;2.37;2.37
KE;5.08;4.79;4.71;4.71;4.71;5.13;5.13;5.33;5.33
GM;4.39;4.19;3.38;3.38;3.31;3.31;3.05;2.97;2.91
KM;3.90;3.58;3.41;3.52;3.52;3.52;3.52;3.71;3.71
CV;7.43;7.81;7.94;7.92;7.92;7.92;7.81;7.81;7.94
CI;3.38;3.27;3.02;3.08;3.25;3.25;3.53;3.31;3.81
CM;3.27;3.46;3.41;3.41;3.44;3.41;3.41;3.66;3.46
ET;4.72;4.52;3.68;3.79;3.72;3.83;3.72;3.83;3.60
BI;4.51;4.51;4.01;4.01;3.60;3.41;3.33;2.49;2.40
ML;5.99;5.87;6.01;6.36;5.12;5.90;5.79;5.70;5.70
TD;1.65;1.52;1.52;1.62;1.62;1.50;1.50;1.50;1.50
BJ;6.16;6.06;6.17;6.06;6.00;5.87;5.65;5.72;5.67
SZ;2.93;3.04;2.90;3.26;3.20;3.20;3.09;3.09;3.03
GQ;2.09;2.19;1.84;1.77;1.83;1.77;1.66;1.77;1.70
ZW;2.62;2.53;2.64;2.68;2.67;2.67;2.78;3.05;3.05
SD;2.90;2.81;2.42;2.38;2.38;2.54;2.54;2.37;2.37
MW;4.97;5.13;5.84;5.84;6.08;6.00;5.66;5.55;5.55
MZ;5.28;5.49;4.90;4.90;4.88;4.77;4.66;4.60;4.02
NE;3.54;3.41;3.38;4.16;4.16;4.08;4.02;3.85;3.96
GW;2.00;1.99;1.99;1.99;1.43;1.26;1.93;1.93;1.98
TZ;5.18;5.28;5.64;5.64;5.88;5.77;5.77;5.58;5.76
SN;5.37;5.37;5.27;5.51;6.09;6.15;6.15;6.08;6.21
UG;5.14;5.03;5.05;5.13;5.16;5.22;5.22;5.22;5.26
ZM;5.25;5.25;5.68;6.19;6.26;6.26;6.39;6.28;5.99
MG;5.82;5.57;3.94;3.93;3.93;4.32;4.42;4.85;5.07
MU;8.04;8.04;8.04;8.04;8.17;8.17;8.17;8.28;8.28
TN;3.06;2.96;2.79;5.53;5.67;5.76;6.31;6.72;6.40
BW;7.60;7.47;7.63;7.63;7.85;7.98;7.87;7.87;7.87
NG;3.52;3.53;3.47;3.83;3.77;3.77;3.76;4.62;4.50
MA;3.90;3.88;3.79;3.83;4.07;4.07;4.00;4.66;4.77
MR;3.12;3.91;3.86;4.17;4.17;4.17;4.17;3.96;3.96
NA;6.54;6.48;6.23;6.24;6.24;6.24;6.24;6.31;6.31
KZ;3.62;3.45;3.30;3.24;2.95;3.06;3.17;3.06;3.06
CN;2.97;3.04;3.14;3.14;3.00;3.00;3.00;3.14;3.14
JP;8.15;8.25;8.08;8.08;8.08;8.08;8.08;7.96;7.99
MN;6.60;6.60;6.36;6.23;6.35;6.51;6.62;6.62;6.62
PK;3.92;4.46;4.55;4.55;4.57;4.64;4.64;4.40;4.33
AM;4.15;4.09;4.09;4.09;4.09;4.02;4.13;4.00;3.88
BD;6.11;5.52;5.87;5.86;5.86;5.86;5.78;5.73;5.73
LK;6.58;6.61;6.64;6.58;5.75;5.69;5.69;6.42;6.48
AF;3.06;3.02;2.48;2.48;2.48;2.48;2.77;2.77;2.55
BT;2.62;4.30;4.68;4.57;4.65;4.82;4.87;4.93;4.93
TJ;2.45;2.45;2.51;2.51;2.51;2.51;2.37;1.95;1.89
IN;7.68;7.80;7.28;7.30;7.52;7.69;7.92;7.74;7.81
TM;1.83;1.72;1.72;1.72;1.72;1.72;1.83;1.83;1.83
GE;4.90;4.62;4.59;4.74;5.53;5.95;5.82;5.88;5.93
