Country;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
WLD;;;.68;;.69;.70;.70;.70;.71;.72
KN.A1;.87;.88;.88;.88;.88;.89;.89;.89;.90;.89
NO;.93;.94;.94;.94;.94;.94;.94;.95;.95;.95
AU;.92;.92;.93;.93;.93;.93;.93;.94;.94;.94
CH;.91;.91;.92;.92;.93;.93;.93;.94;.94;.94
DK;.90;.91;.91;.91;.91;.92;.92;.93;.92;.93
NL;.90;.91;.91;.91;.91;.92;.92;.92;.92;.92
DE;.90;.90;.91;.91;.91;.92;.92;.92;.92;.93
IE;.90;.91;.91;.91;.91;.90;.90;.91;.92;.92
US;.90;.91;.91;.91;.91;.91;.92;.92;.92;.92
CA;.89;.90;.90;.90;.90;.91;.91;.91;.92;.92
NZ;.89;.89;.90;.90;.90;.90;.91;.91;.91;.92
SG;.87;.88;.89;.89;.91;.92;.92;.92;.92;.93
HK;.88;.89;.89;.89;.90;.91;.91;.91;.92;.92
SE;.90;.90;.90;.90;.90;.90;.90;.91;.91;.91
GB;.89;.89;.90;.90;.90;.90;.90;.90;.91;.91
IS;.89;.89;.89;.89;.89;.90;.91;.92;.92;.92
KR;.87;.87;.88;.87;.88;.89;.89;.90;.90;.90
IL;.87;.88;.88;.88;.88;.89;.89;.90;.90;.90
LU;.88;.89;.89;.88;.89;.89;.89;.89;.90;.90
JP;.88;.88;.88;.88;.88;.89;.89;.90;.90;.90
BE;.87;.87;.88;.88;.88;.89;.89;.89;.90;.90
FR;.87;.88;.88;.88;.88;.89;.89;.89;.89;.90
AT;.86;.86;.87;.87;.88;.88;.89;.89;.89;.89
FI;.87;.88;.88;.87;.88;.88;.89;.89;.89;.90
SI;.87;.87;.87;.87;.88;.88;.88;.89;.89;.89
ES;.85;.85;.86;.86;.87;.87;.87;.88;.88;.88
IT;.86;.87;.87;.87;.87;.88;.88;.88;.88;.89
CZ;.85;.86;.86;.86;.86;.86;.87;.87;.88;.88
GR;.86;.85;.86;.86;.86;.86;.86;.86;.87;.87
EE;.83;.84;.84;.83;.84;.85;.86;.86;.86;.87
BN;.84;.84;.84;.85;.85;.85;.86;.86;.86;.87
CY;.84;.84;.85;.85;.85;.85;.85;.85;.85;.86
QA;.83;.83;.83;.83;.83;.84;.84;.85;.86;.86
SK;.80;.81;.82;.82;.83;.84;.84;.84;.84;.85
PL;.81;.81;.82;.82;.83;.83;.84;.85;.85;.86
LT;.81;.82;.83;.82;.83;.83;.83;.84;.85;.85
MT;.81;.81;.82;.82;.83;.82;.83;.85;.85;.86
SA;.77;.78;.79;.79;.80;.82;.83;.84;.85;.85
AR;.79;.79;.79;.80;.82;.82;.82;.83;.83;.83
AE;.83;.83;.83;.83;.82;.83;.83;.83;.84;.84
CL;.80;.80;.82;.82;.82;.83;.83;.84;.85;.85
PT;.80;.80;.81;.81;.82;.82;.83;.84;.84;.84
HU;.81;.81;.82;.82;.82;.82;.82;.83;.83;.84
BH;.81;.82;.81;.81;.81;.81;.82;.82;.82;.82
LV;.81;.82;.82;.82;.81;.81;.81;.82;.83;.83
HR;.79;.80;.80;.80;.81;.82;.82;.82;.82;.83
KW;.79;.79;.79;.79;.79;.79;.80;.79;.80;.80
ME;.76;.77;.79;.79;.79;.80;.80;.80;.80;.81
KN.A2;.69;.70;.71;.72;.72;.73;.73;.74;.74;.75
BY;.74;.76;.77;.78;.79;.79;.80;.80;.80;.80
RU;.76;.77;.78;.77;.79;.79;.80;.80;.81;.80
OM;.75;.77;.78;.80;.80;.80;.80;.80;.80;.80
RO;.77;.78;.80;.80;.80;.80;.79;.80;.80;.80
UY;.76;.77;.77;.78;.78;.78;.79;.79;.79;.80
BS;.79;.79;.79;.79;.79;.79;.79;.79;.79;.79
KZ;.75;.76;.76;.76;.77;.77;.78;.79;.79;.79
BB;.77;.78;.78;.78;.78;.79;.79;.79;.79;.80
BG;.76;.76;.77;.77;.78;.78;.78;.79;.79;.79
PA;.74;.75;.76;.76;.76;.77;.77;.78;.79;.79
MY;.74;.75;.76;.76;.77;.78;.78;.78;.79;.79
MU;.72;.73;.73;.74;.75;.76;.77;.77;.78;.78
TT;.76;.77;.77;.77;.77;.77;.77;.78;.78;.78
RS;.74;.75;.75;.76;.76;.77;.77;.77;.78;.78
CU;.75;.77;.78;.78;.78;.78;.77;.77;.77;.78
LB;.73;.74;.75;.75;.76;.76;.77;.76;.76;.76
CR;.73;.74;.75;.75;.75;.76;.76;.77;.78;.78
IR;.70;.72;.73;.74;.75;.76;.77;.77;.77;.77
VE;.73;.75;.75;.75;.76;.77;.77;.77;.77;.77
TR;.70;.71;.71;.72;.74;.75;.75;.76;.76;.77
LK;.73;.73;.74;.74;.75;.75;.76;.76;.76;.77
MX;.73;.74;.74;.74;.75;.75;.75;.75;.76;.76
BR;.70;.70;.71;.72;.72;.73;.73;.75;.75;.75
GE;.72;.74;.73;.74;.74;.75;.76;.76;.77;.77
AZ;.71;.72;.73;.74;.74;.74;.75;.75;.76;.76
JO;.74;.74;.74;.74;.74;.74;.74;.74;.74;.74
MK;.71;.71;.73;.73;.74;.74;.74;.74;.75;.75
UA;.72;.73;.73;.73;.73;.74;.74;.75;.75;.74
DZ;.69;.70;.71;.71;.72;.73;.74;.74;.74;.75
PE;.70;.70;.71;.71;.72;.73;.73;.74;.74;.74
AL;.70;.71;.72;.73;.74;.75;.76;.76;.76;.76
AM;.71;.72;.73;.72;.73;.73;.74;.74;.74;.74
BA;.70;.71;.72;.72;.71;.73;.74;.74;.75;.75
EC;.70;.70;.70;.70;.71;.72;.73;.74;.74;.74
LC;.71;.71;.72;.72;.73;.74;.73;.72;.74;.74
CN;.66;.67;.68;.69;.70;.70;.71;.72;.73;.74
FJ;.70;.70;.70;.71;.71;.71;.72;.73;.73;.74
MN;.66;.67;.69;.69;.70;.71;.72;.73;.73;.74
TH;.69;.70;.71;.71;.72;.73;.73;.74;.74;.74
LY;.76;.76;.76;.76;.76;.71;.74;.73;.72;.72
TN;.70;.70;.71;.71;.71;.72;.72;.72;.72;.73
CO;.68;.68;.69;.70;.70;.71;.71;.72;.72;.73
JM;.71;.72;.72;.72;.72;.73;.73;.73;.73;.73
TO;.70;.70;.70;.71;.71;.72;.72;.72;.72;.72
BZ;.70;.70;.70;.70;.70;.70;.71;.71;.71;.71
DO;.69;.69;.70;.70;.70;.71;.71;.71;.72;.72
SR;.68;.69;.70;.70;.70;.71;.72;.72;.72;.73
MV;.63;.64;.65;.65;.66;.68;.68;.69;.70;.70
WS;.68;.69;.69;.69;.69;.70;.70;.70;.70;.70
KN.A3;.57;.58;.59;.59;.60;.61;.61;.61;.63;.63
BW;.63;.65;.66;.67;.68;.69;.69;.70;.70;.70
MD;.66;.66;.67;.66;.67;.68;.69;.70;.70;.70
EG;.64;.65;.66;.67;.67;.67;.68;.69;.69;.69
GA;.65;.65;.65;.66;.66;.67;.68;.69;.69;.70
ID;.64;.64;.65;.66;.66;.67;.68;.68;.69;.69
PY;.65;.65;.66;.66;.68;.68;.68;.69;.69;.69
PS;.66;.66;.66;.67;.67;.67;.68;.68;.68;.68
UZ;.63;.64;.65;.66;.66;.67;.68;.69;.70;.70
PH;.65;.66;.66;.66;.67;.67;.67;.68;.68;.68
SV;.66;.66;.66;.66;.67;.67;.68;.68;.68;.68
ZA;.61;.62;.62;.63;.64;.64;.65;.66;.67;.67
VN;.63;.63;.64;.65;.66;.66;.67;.68;.68;.68
BO;.63;.63;.64;.64;.65;.66;.66;.67;.67;.67
KG;.62;.62;.63;.63;.63;.64;.65;.66;.66;.66
IQ;.64;.64;.64;.65;.65;.66;.66;.66;.65;.65
GY;.62;.62;.62;.62;.62;.63;.63;.64;.64;.64
NI;.60;.61;.61;.61;.62;.63;.63;.64;.64;.65
MA;.58;.59;.60;.60;.61;.62;.63;.64;.65;.65
NA;.58;.59;.60;.60;.61;.62;.63;.63;.64;.64
GT;.58;.59;.60;.60;.61;.62;.61;.61;.64;.64
TJ;.59;.59;.60;.60;.61;.61;.62;.62;.63;.63
IN;.55;.56;.56;.57;.58;.59;.60;.61;.62;.62
HN;.59;.60;.60;.61;.61;.61;.61;.62;.62;.63
BT;;;;;.57;.58;.59;.60;.60;.61
TL;.54;.57;.60;.60;.61;.62;.62;.61;.60;.61
SY;.64;.65;.65;.65;.65;.65;.64;.58;.55;.54
VU;.58;.58;.59;.59;.59;.59;.59;.60;.60;.60
CG;.52;.53;.55;.55;.56;.56;.58;.58;.59;.59
ZM;.49;.50;.52;.53;.54;.55;.57;.57;.58;.58
GH;.52;.53;.54;.55;.55;.56;.57;.58;.58;.58
LA;.51;.52;.53;.54;.54;.55;.56;.57;.58;.59
BD;.51;.52;.52;.54;.55;.56;.57;.57;.58;.58
KH;.50;.51;.52;.52;.53;.54;.55;.55;.56;.56
ST;.53;.53;.53;.54;.55;.55;.56;.56;.57;.57
KN.A4;.46;.47;.47;.48;.48;.49;.49;.49;.51;.50
KE;.49;.51;.51;.52;.53;.54;.54;.55;.55;.56
NP;.49;.49;.50;.52;.53;.54;.55;.55;.56;.56
PK;.51;.51;.51;.52;.53;.53;.54;.54;.55;.55
SZ;.51;.51;.52;.52;.53;.53;.54;.54;.54;.54
TZ;.46;.47;.48;.49;.50;.50;.51;.51;.52;.53
NG;.48;.48;.49;.49;.50;.51;.51;.52;.53;.53
CM;.46;.47;.47;.48;.49;.50;.50;.51;.51;.52
MG;.48;.49;.50;.50;.50;.51;.51;.51;.51;.51
ZW;.41;.42;.42;.44;.45;.46;.49;.50;.51;.52
MR;.48;.48;.48;.48;.49;.49;.50;.51;.51;.51
PG;.46;.47;.48;.49;.49;.50;.51;.51;.52;.52
KM;.46;.46;.47;.48;.48;.48;.49;.50;.50;.50
YE;.48;.48;.48;.49;.49;.49;.50;.50;.50;.48
LS;.44;.45;.45;.46;.47;.48;.48;.49;.50;.50
TG;.44;.44;.44;.45;.46;.46;.47;.48;.48;.49
RW;.42;.44;.45;.45;.46;.48;.49;.49;.49;.50
UG;.44;.45;.46;.47;.48;.48;.48;.48;.49;.49
BJ;.44;.44;.45;.45;.45;.46;.47;.48;.48;.49
SD;.44;.44;.46;.46;.46;.47;.48;.49;.49;.49
SN;.43;.44;.44;.45;.46;.46;.47;.48;.49;.49
AF;.42;.43;.43;.45;.45;.46;.47;.48;.48;.48
CI;.42;.42;.43;.44;.44;.44;.45;.46;.47;.47
MW;.39;.40;.42;.43;.44;.45;.46;.47;.47;.48
ET;.36;.38;.39;.40;.41;.42;.43;.44;.44;.45
GM;.42;.43;.43;.44;.44;.44;.45;.45;.45;.45
CD;.37;.38;.39;.40;.40;.41;.41;.42;.43;.44
LR;.38;.39;.40;.40;.41;.42;.42;.43;.43;.43
ML;.36;.36;.39;.40;.40;.41;.42;.43;.44;.44
MZ;.36;.37;.38;.39;.40;.40;.41;.41;.41;.42
SL;.36;.37;.38;.38;.39;.40;.41;.43;.43;.42
GN;.36;.37;.38;.38;.39;.40;.41;.41;.41;.41
BF;.33;.35;.36;.37;.38;.38;.39;.40;.40;.40
BI;.31;.32;.34;.36;.39;.39;.40;.40;.41;.40
TD;.31;.34;.34;.36;.37;.38;.39;.39;.39;.40
CF;.33;.34;.35;.35;.36;.37;.37;.35;.35;.35
NE;.29;.30;.31;.31;.32;.33;.34;.35;.35;.35
KN.A7;;;.66;;.68;.68;.68;.68;.69;.69
KN.A8;;;.67;;.69;.70;.70;.70;.71;.72
KN.A9;;;.72;;.73;.73;.74;.74;.75;.76
KN.A11;;;.73;;.73;.74;.74;.74;.75;.75
KN.A12;;;.56;;.57;.58;.59;.59;.61;.62
KN.A13;;;.48;;.49;.49;.50;.50;.52;.52
KN.A17;;;;;;;;;;.89
KN.A16;;;;;;;;;;.67
KN.A14;;;.46;;.47;.48;.48;.49;.50;.51
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
