Country;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
CD;;;51.25;53.50;51.83;67.67;67.67;32.86;44.64;44.31;50.97;52.67
CG;17.00;24.50;20.75;34.25;33.60;30.38;30.38;28.20;29.44;33.00;35.84;36.73
RW;41.00;58.88;50.00;64.67;81.00;81.00;81.00;55.46;56.57;56.57;54.61;54.11
GH;8.50;9.00;7.50;6.00;8.00;11.00;11.00;30.09;16.29;15.50;17.95;17.95
DZ;40.00;40.50;31.33;49.56;47.33;56.00;56.00;36.54;36.26;36.63;41.69;42.83
ZA;11.25;13.00;8.00;8.50;12.00;12.00;12.00;24.56;23.19;22.06;21.92;20.12
LY;62.50;66.50;61.50;64.50;63.50;77.50;77.50;29.89;39.84;45.99;57.89;56.81
EG;46.25;58.00;50.25;51.38;43.33;97.50;97.50;48.66;51.89;50.17;54.45;55.78
GN;27.50;33.50;21.50;28.50;33.50;30.00;30.00;29.39;31.67;32.56;33.08;33.15
LS;16.00;29.50;29.50;27.50;24.00;21.00;21.00;67.99;28.36;28.36;28.78;28.78
AO;21.50;26.50;29.50;36.50;28.50;58.43;58.43;37.80;36.50;37.84;39.89;40.42
CF;14.50;22.50;18.50;17.75;18.50;20.00;20.00;41.66;33.13;33.84;33.60;36.12
SO;51.25;71.50;58.00;77.50;66.00;88.33;88.33;73.59;73.19;72.31;65.35;65.95
BF;16.00;21.50;13.00;15.00;15.00;23.33;23.33;23.70;24.45;23.79;22.66;23.85
GA;28.50;31.50;26.75;43.50;28.75;36.50;36.50;28.34;31.32;31.38;32.20;34.83
TG;15.00;15.17;10.00;15.50;17.00;28.50;28.50;28.45;29.00;28.50;30.31;30.75
SL;26.00;39.50;27.75;34.00;24.25;21.00;21.00;26.35;28.23;28.47;29.94;30.73
LR;19.00;25.33;9.75;15.50;22.50;40.50;40.50;30.15;30.65;30.78;30.71;31.12
DJ;33.00;50.25;41.50;31.00;30.50;83.50;83.50;67.40;70.34;71.04;70.90;70.54
ER;97.50;114.00;97.50;115.50;105.00;142.00;142.00;84.83;84.83;84.86;83.92;84.24
KE;30.25;23.75;21.25;25.00;19.00;29.50;29.50;55.08;30.70;32.07;31.16;31.20
GM;54.00;48.25;42.75;48.25;40.50;65.50;65.50;28.69;46.42;44.50;46.53;46.70
KM;22.50;28.00;20.00;19.00;19.00;13.00;13.00;24.52;24.52;24.52;24.33;24.33
CV;11.50;14.00;8.00;11.00;8.00;-6.00;-6.00;14.33;14.32;20.69;19.82;18.02
CI;25.00;27.00;26.50;29.00;36.00;83.50;83.50;29.77;31.63;30.45;30.17;30.42
CM;28.25;36.00;36.90;30.50;44.30;35.00;35.00;34.78;38.13;39.63;40.53;41.59
ET;75.00;63.00;47.75;49.00;49.38;56.60;56.60;39.57;40.58;41.83;45.13;50.34
BI;39.83;43.40;21.00;29.00;28.88;57.75;57.75;38.02;40.50;42.93;54.10;55.78
ML;9.00;16.50;7.50;8.00;8.00;0.00;0.00;31.10;36.29;36.33;39.83;38.27
TD;35.50;36.50;41.25;44.50;33.17;37.67;37.67;34.87;40.22;40.17;40.59;39.66
BJ;5.50;17.00;15.00;16.00;19.00;31.00;31.00;28.33;28.83;29.24;28.97;30.32
SZ;40.50;54.50;50.50;52.50;57.50;67.00;67.00;46.76;46.76;47.28;52.37;51.27
GQ;48.00;65.25;59.25;65.50;79.00;86.00;86.00;28.49;67.95;66.23;66.47;66.47
ZW;50.00;62.00;54.00;46.50;39.50;55.00;55.00;38.12;39.19;39.19;40.41;41.44
SD;48.13;55.75;42.00;54.00;85.33;100.75;100.75;70.06;71.88;72.34;72.53;73.56
MW;25.50;26.75;15.00;15.50;21.00;68.00;68.00;42.73;28.29;26.41;28.12;28.97
MZ;11.50;23.00;20.50;19.00;26.50;21.50;21.50;32.97;29.26;29.98;30.25;31.05
NE;24.50;25.50;37.00;48.50;28.50;2.50;2.50;28.31;23.59;23.85;24.62;27.21
GW;14.50;33.50;16.33;23.50;18.25;26.00;26.00;67.20;30.05;28.70;29.03;30.09
TZ;19.82;18.00;15.00;15.50;13.00;6.00;6.00;27.34;27.30;28.09;28.65;30.65
SN;17.50;25.00;19.00;22.00;25.00;26.00;26.00;26.19;26.68;27.77;27.99;26.72
UG;29.83;28.00;26.00;21.50;25.50;64.00;64.00;41.51;33.29;31.65;32.58;35.94
ZM;22.50;21.50;15.50;26.75;22.00;30.00;30.00;27.93;30.89;34.35;35.08;36.48
SS;;;;;;41.25;41.25;36.20;36.05;38.04;44.87;48.16
MG;15.00;20.00;21.00;45.83;34.88;29.50;29.50;34.27;29.38;27.43;27.04;26.71
MU;8.00;8.50;9.00;14.00;18.00;17.00;17.00;39.04;27.69;27.69;27.69;26.67
SC;24.50;33.00;15.50;16.00;18.00;25.00;25.00;29.19;31.68;31.55;30.60;30.86
TN;53.75;57.00;48.10;61.50;72.50;60.25;60.25;39.93;38.69;38.68;31.60;32.22
BW;13.00;23.50;14.00;15.50;17.50;12.00;12.00;22.91;22.91;22.91;22.91;24.93
NG;32.23;49.83;37.75;46.00;51.50;56.40;56.40;23.08;34.24;34.09;35.90;39.69
MA;24.83;33.25;32.25;41.00;47.40;63.29;63.29;23.30;39.72;39.19;42.64;42.42
MR;17.50;15.50;23.88;28.50;25.38;22.20;22.20;26.47;26.53;25.27;24.03;26.49
NA;6.00;8.50;5.50;9.00;7.00;-2.00;-2.00;28.01;12.50;12.50;15.15;17.08
KZ;41.00;41.63;35.33;49.67;68.50;77.50;77.50;38.47;54.94;53.46;54.55;54.01
CN;94.00;89.00;85.50;84.50;84.67;136.00;136.00;73.07;72.91;73.55;80.96;77.66
JP;12.50;11.75;6.50;3.25;2.50;-1.00;-1.00;9.88;26.02;26.95;28.67;29.44
MN;19.25;23.40;20.83;23.33;19.42;35.75;35.75;26.01;30.30;25.25;27.61;28.95
PK;70.33;64.83;54.88;65.67;56.17;75.00;75.00;60.39;51.46;50.46;48.52;43.55
AM;25.50;23.63;22.75;31.13;27.50;27.00;27.00;28.04;29.07;28.43;28.79;30.38
BD;48.00;53.17;42.70;37.33;42.50;57.00;57.00;42.01;42.58;42.95;45.94;48.36
LK;50.75;67.50;78.00;75.00;62.50;87.50;87.50;56.59;59.13;60.28;44.96;44.34
AF;44.25;56.50;59.25;54.25;51.67;74.00;74.00;37.36;37.07;37.44;37.75;39.46
BT;25.00;37.17;15.50;15.75;17.75;24.00;24.00;28.42;30.73;32.65;30.73;30.73
TJ;30.00;37.00;25.50;32.00;34.50;56.00;56.00;35.71;34.86;36.19;50.34;50.27
IN;26.50;39.33;30.00;29.33;38.75;58.00;58.00;26.09;40.34;40.49;43.17;42.94
TM;98.50;103.75;95.50;107.00;95.33;140.67;140.67;79.14;80.81;80.83;83.44;84.19
GE;21.00;20.83;31.25;18.83;27.00;38.00;38.00;45.09;29.78;27.70;27.96;27.76
KG;34.00;33.60;27.00;40.00;63.00;40.00;40.00;27.80;31.24;30.69;30.16;30.92
UZ;71.00;74.88;62.70;67.67;71.50;83.00;83.00;31.69;61.01;61.14;61.15;66.11
AZ;47.00;55.40;53.63;53.50;56.38;87.25;87.25;47.73;52.87;58.41;57.89;56.40
KP;109.00;108.75;96.50;112.50;104.75;141.00;141.00;83.90;81.96;83.25;83.76;84.98
MV;51.25;45.17;23.25;14.00;16.00;25.00;25.00;28.18;33.11;34.32;34.17;39.30
KR;7.75;12.13;9.00;15.67;13.33;12.67;12.67;24.48;25.66;26.55;28.58;27.61
NP;73.50;53.75;43.25;35.63;36.38;38.75;38.75;12.50;36.16;32.71;32.62;33.02
CU;95.00;96.17;88.33;94.00;78.00;98.83;98.83;71.64;70.92;70.21;70.23;71.75
GT;21.25;33.00;22.64;29.50;20.25;35.00;35.00;28.46;36.61;37.92;38.03;39.33
DO;12.75;22.75;18.00;26.83;26.13;33.25;33.25;26.61;27.17;27.31;27.90;26.76
JM;5.50;8.63;4.88;4.75;7.67;-3.00;-3.00;26.11;10.90;11.18;12.45;12.73
CR;6.67;6.50;5.10;8.00;8.08;-2.25;-2.25;12.08;12.23;12.26;11.10;11.93
PA;9.50;17.88;11.83;14.50;21.83;45.67;45.67;43.09;30.20;28.98;30.59;32.12
HN;14.50;25.50;21.50;42.00;51.13;61.00;61.00;24.09;37.14;39.27;44.62;43.75
NI;15.50;14.25;12.50;16.75;22.33;24.33;24.33;34.61;27.70;27.94;28.82;31.01
BZ;;;;;;;;;17.05;18.54;20.61;23.43
SV;10.00;20.20;12.80;17.25;15.83;9.30;9.30;22.86;21.57;23.66;27.20;27.24
TT;5.00;5.00;6.13;7.00;8.50;15.00;15.00;23.12;23.28;22.39;23.29;20.62
HT;19.50;23.50;15.13;15.00;16.38;15.67;15.67;27.08;23.53;25.08;24.66;26.36
AD;;;;;;;;6.82;6.82;19.87;19.87;21.03
CH;2.50;3.00;3.00;1.00;0.00;-6.20;-6.20;9.94;10.47;13.85;11.76;12.13
FR;9.00;9.75;7.67;10.67;13.38;9.50;9.50;21.60;21.89;21.15;23.83;22.24
LI;;;;;;;;37.86;7.02;17.67;18.36;20.31
LU;;;1.50;4.00;4.00;-7.00;-7.00;18.24;6.70;13.61;14.43;14.72
MT;;;;2.50;4.00;19.50;19.50;30.03;23.84;24.16;23.84;24.76
BY;57.00;63.63;58.33;59.50;57.00;99.00;99.00;48.35;47.82;47.98;54.32;52.43
DE;5.50;5.75;4.50;3.50;4.25;-3.00;-3.00;10.24;10.23;11.47;14.80;14.97
IT;9.90;11.25;8.42;12.14;15.00;19.67;19.67;32.97;23.75;27.94;28.93;26.26
ES;10.00;10.25;8.00;11.00;12.25;9.75;9.75;20.50;20.63;19.95;19.92;18.69
NL;.50;3.50;4.00;1.00;0.00;-9.00;-9.00;28.78;6.46;9.22;8.76;11.28
PL;14.00;18.50;9.00;9.50;8.88;-.67;-.67;43.11;11.03;12.71;23.89;26.47
BE;4.00;1.50;3.00;2.50;4.00;-2.00;-2.00;12.94;12.80;11.98;14.18;12.75
BG;9.00;16.25;12.50;15.61;19.00;29.00;29.00;28.58;31.42;32.91;34.46;35.01
HU;3.00;4.50;5.50;5.50;7.50;10.00;10.00;26.16;26.73;27.44;28.17;29.01
SE;4.00;1.50;3.00;0.00;0.00;-5.50;-5.50;9.23;8.98;9.47;12.33;8.27
CZ;.75;4.00;4.00;5.00;7.50;-5.00;-5.00;10.17;10.07;11.62;16.66;16.91
DK;5.00;2.00;3.50;0.00;2.50;-5.67;-5.67;7.08;7.43;8.24;8.89;10.36
PT;3.00;2.00;4.00;8.00;12.36;5.33;5.33;13.11;17.73;17.11;17.27;15.77
RO;14.00;12.75;9.00;12.50;16.00;14.00;14.00;23.05;23.48;24.90;24.29;24.46
AT;4.50;4.25;3.50;3.00;.50;-8.00;-8.00;9.40;10.01;10.85;13.18;13.47
GR;8.00;9.25;7.50;9.00;19.00;24.00;24.00;17.27;31.33;31.01;30.35;30.89
SK;2.50;1.00;3.00;11.00;11.50;0.00;0.00;13.25;11.39;11.66;13.26;15.51
EE;2.00;1.00;2.00;.50;2.00;-9.00;-9.00;9.26;9.63;11.19;14.31;13.55
IE;.50;2.00;2.00;0.00;2.00;-4.00;-4.00;73.40;10.87;11.20;12.40;14.08
LT;6.50;7.00;4.00;2.25;2.50;4.00;4.00;7.35;19.20;18.80;19.95;21.37
LV;3.00;3.50;3.00;3.00;8.50;15.00;15.00;28.36;21.10;18.12;17.38;18.62
SI;3.00;6.50;7.33;9.50;13.44;9.14;9.14;20.49;20.38;20.55;22.26;21.70
NO;2.00;.75;1.50;0.00;0.00;-10.00;-10.00;34.11;6.52;7.75;8.79;7.60
RU;52.50;56.90;47.50;60.88;49.90;66.00;66.00;43.42;42.78;44.97;49.03;49.45
HR;13.00;12.50;8.50;17.17;17.50;23.33;23.33;26.61;26.82;26.12;27.91;29.59
UA;26.50;26.75;19.25;22.00;46.83;54.00;54.00;36.79;36.93;39.10;32.93;33.19
MD;19.17;24.75;21.38;33.75;19.13;16.00;16.00;45.30;25.35;27.85;28.83;30.41
MK;11.50;11.50;8.25;8.75;18.40;31.67;31.67;6.68;36.43;36.26;36.09;35.74
AL;18.00;25.50;16.00;21.75;21.50;34.44;34.44;30.88;29.92;28.77;29.92;29.92
ME;11.50;19.00;10.00;17.00;28.50;39.00;39.00;29.93;34.78;34.63;32.79;33.65
BA;5.00;11.17;8.00;10.50;13.50;19.50;19.50;26.86;26.86;27.51;28.45;27.83
RS;11.50;21.00;13.50;15.50;23.00;29.00;29.00;26.59;25.05;27.66;27.60;28.05
IS;.50;.75;1.50;2.00;0.00;-7.00;-7.00;10.06;8.50;13.87;15.30;13.03
FI;.50;1.50;2.00;0.00;0.00;-10.00;-10.00;6.38;6.40;7.52;8.59;8.92
GB;6.50;8.25;5.50;4.00;6.00;2.00;2.00;16.89;19.93;20.00;21.70;22.26
CA;4.50;4.88;3.33;3.70;7.00;-5.67;-5.67;12.69;10.99;10.99;15.26;16.53
MX;45.83;53.63;46.13;48.25;47.50;72.67;72.67;26.76;45.04;43.69;49.33;48.97
US;13.00;14.50;8.00;4.00;6.75;14.00;14.00;18.22;23.49;24.41;22.49;23.88
TO;13.00;38.25;18.00;;23.75;21.00;21.00;26.70;26.70;23.37;21.24;24.97
WS;;;;;33.00;17.00;17.00;23.84;22.02;22.32;18.80;16.41
AU;9.00;8.79;6.25;3.13;5.38;4.00;4.00;15.24;16.91;17.03;17.84;16.02
NZ;5.00;4.17;3.00;3.00;1.50;-5.33;-5.33;6.52;8.55;10.06;10.01;13.98
PG;;;;14.70;13.33;9.00;9.00;32.95;23.46;25.87;25.81;25.07
FJ;14.00;33.50;16.00;60.00;52.75;55.00;55.00;32.69;32.57;31.28;29.37;28.64
HK;14.00;20.00;9.75;0.00;10.75;17.00;17.00;36.92;26.55;27.76;28.50;29.46
TW;10.50;10.00;8.00;0.00;14.50;13.00;13.00;23.82;23.82;24.83;24.37;24.37
ID;26.00;30.50;27.00;28.50;35.83;68.00;68.00;41.22;38.15;40.75;41.72;39.93
PH;51.00;44.75;45.00;38.25;60.00;64.50;64.50;31.87;43.69;41.19;44.66;41.08
MY;22.25;41.00;39.50;44.25;50.75;56.00;56.00;28.62;42.73;43.29;46.57;46.89
TH;33.50;53.50;34.50;44.00;56.83;61.50;61.50;38.60;37.94;40.07;44.53;44.69
SG;51.50;56.00;49.00;45.00;47.50;61.00;61.00;43.43;44.29;45.87;52.96;51.10
VN;67.25;79.25;86.17;81.67;75.75;114.00;114.00;71.78;72.36;72.63;74.27;73.96
LA;67.50;75.00;70.00;92.00;80.50;89.00;89.00;28.28;71.22;71.25;71.58;66.41
KH;27.25;25.33;35.50;35.17;43.83;55.00;55.00;41.81;40.97;40.99;40.70;42.07
MM;94.75;93.75;94.38;102.67;94.50;100.00;100.00;44.71;41.43;42.08;45.48;41.82
TL;18.50;27.00;13.75;16.00;25.00;30.00;30.00;28.72;29.04;32.63;32.02;32.82
BN;;;;63.50;51.00;56.20;56.20;35.45;35.45;36.76;53.85;53.72
VE;29.00;36.88;27.33;39.50;47.33;55.00;55.00;34.44;35.37;40.61;44.77;42.94
BR;17.17;25.25;18.00;15.88;16.60;35.33;35.33;32.75;34.03;31.93;32.62;33.58
AR;17.30;24.83;14.08;11.33;16.35;14.00;14.00;25.67;25.27;26.11;25.09;25.07
CL;11.63;12.13;11.50;10.50;10.50;29.00;29.00;26.24;25.80;23.00;19.23;20.53
CO;44.75;42.33;35.50;40.13;51.50;66.50;66.50;37.48;36.68;39.08;44.11;41.47
PE;28.25;37.38;26.25;20.88;30.00;51.25;51.25;31.87;31.70;31.21;29.99;30.98
EC;15.25;18.50;15.50;20.00;27.50;38.00;38.00;34.69;31.16;33.65;33.21;33.64
PY;18.25;26.10;20.50;14.33;16.25;29.00;29.00;22.97;31.81;33.74;33.63;35.64
UY;13.75;11.75;8.33;7.63;11.75;4.25;4.25;15.92;16.08;15.94;15.88;17.43
BO;4.50;21.50;28.20;24.17;28.13;40.00;40.00;32.80;31.04;31.29;31.78;33.88
GY;;;19.75;10.50;16.63;19.50;19.50;28.94;27.08;27.21;27.07;26.80
SR;;;6.00;10.60;11.50;-1.00;-1.00;18.19;18.20;18.20;16.70;16.07
CY;7.50;14.00;7.50;5.50;13.40;-3.00;-3.00;13.83;14.45;16.52;18.26;19.79
TR;25.00;31.25;22.75;38.25;49.25;70.00;70.00;46.56;45.87;44.16;50.76;52.98
BH;28.00;38.00;21.17;36.50;51.38;125.00;125.00;62.75;58.26;58.69;54.86;58.88
YE;54.00;56.67;59.00;83.38;82.13;101.00;101.00;69.22;67.26;66.36;67.07;65.80
KW;17.00;20.17;12.63;15.25;23.75;28.00;28.00;28.47;30.71;30.84;32.59;33.61
OM;;;32.67;29.50;40.25;55.00;55.00;19.72;38.83;38.83;40.43;40.46
QA;18.00;24.00;15.50;24.00;38.00;46.00;46.00;16.75;34.32;35.35;35.97;39.83
IQ;66.83;67.83;59.38;53.30;45.58;75.36;75.36;41.05;45.44;47.76;54.35;54.03
IR;90.88;96.50;80.33;104.14;94.56;136.60;136.60;73.40;72.29;72.32;66.52;65.12
AE;17.50;20.25;14.50;21.50;23.75;45.00;45.00;33.49;36.03;36.73;36.73;39.39
IL;12.00;13.25;8.83;23.75;23.25;31.25;31.25;8.49;31.19;32.09;32.58;31.01
